Value of k	accuracy	recall	precision
1.00	0.81	0.93	0.81
2.00	0.67	0.71	0.77
3.00	0.71	0.79	0.79
4.00	0.76	0.79	0.85
5.00	0.76	0.79	0.85
6.00	0.71	0.71	0.83
7.00	0.76	0.86	0.80
8.00	0.76	0.79	0.85
9.00	0.71	0.79	0.79
10.00	0.71	0.79	0.79
11.00	0.76	0.86	0.80
12.00	0.71	0.79	0.79
13.00	0.76	0.86	0.80
14.00	0.76	0.86	0.80
15.00	0.76	0.86	0.80
16.00	0.76	0.86	0.80
17.00	0.76	0.86	0.80
18.00	0.71	0.79	0.79
19.00	0.81	0.93	0.81
20.00	0.81	0.93	0.81
21.00	0.86	1.00	0.82
22.00	0.86	1.00	0.82
23.00	0.86	1.00	0.82
24.00	0.86	1.00	0.82
25.00	0.86	1.00	0.82
26.00	0.86	1.00	0.82
27.00	0.86	1.00	0.82
28.00	0.86	1.00	0.82
29.00	0.86	1.00	0.82
30.00	0.86	1.00	0.82
31.00	0.86	1.00	0.82
32.00	0.86	1.00	0.82
33.00	0.86	1.00	0.82
34.00	0.86	1.00	0.82
35.00	0.86	1.00	0.82
36.00	0.86	1.00	0.82
37.00	0.86	1.00	0.82
38.00	0.86	1.00	0.82
39.00	0.86	1.00	0.82
40.00	0.81	0.93	0.81
41.00	0.81	0.93	0.81
42.00	0.81	0.93	0.81
43.00	0.86	1.00	0.82
44.00	0.86	1.00	0.82
45.00	0.86	1.00	0.82
46.00	0.86	1.00	0.82
47.00	0.86	1.00	0.82
48.00	0.86	1.00	0.82
49.00	0.86	1.00	0.82
50.00	0.86	1.00	0.82
51.00	0.86	1.00	0.82
52.00	0.86	1.00	0.82
53.00	0.86	1.00	0.82
54.00	0.86	1.00	0.82
55.00	0.86	1.00	0.82
56.00	0.86	1.00	0.82
57.00	0.86	1.00	0.82
58.00	0.86	1.00	0.82
59.00	0.81	1.00	0.78
60.00	0.81	1.00	0.78
61.00	0.81	1.00	0.78
62.00	0.81	1.00	0.78
63.00	0.76	1.00	0.74
64.00	0.76	1.00	0.74
65.00	0.71	1.00	0.70
66.00	0.76	1.00	0.74
67.00	0.71	1.00	0.70
68.00	0.71	1.00	0.70
69.00	0.71	1.00	0.70
70.00	0.71	1.00	0.70
71.00	0.71	1.00	0.70
72.00	0.71	1.00	0.70
73.00	0.67	1.00	0.67
74.00	0.67	1.00	0.67
75.00	0.67	1.00	0.67
76.00	0.67	1.00	0.67
77.00	0.67	1.00	0.67
78.00	0.67	1.00	0.67
79.00	0.67	1.00	0.67
80.00	0.67	1.00	0.67
81.00	0.67	1.00	0.67
82.00	0.67	1.00	0.67
83.00	0.67	1.00	0.67
84.00	0.67	1.00	0.67
85.00	0.67	1.00	0.67
86.00	0.67	1.00	0.67
87.00	0.67	1.00	0.67
88.00	0.67	1.00	0.67
89.00	0.67	1.00	0.67
90.00	0.67	1.00	0.67
91.00	0.67	1.00	0.67
92.00	0.67	1.00	0.67
93.00	0.67	1.00	0.67
94.00	0.67	1.00	0.67
95.00	0.67	1.00	0.67
96.00	0.67	1.00	0.67
97.00	0.67	1.00	0.67
98.00	0.67	1.00	0.67
99.00	0.67	1.00	0.67
